"CDC Rio Verde","GEO CO","30.393","ROTA","435","2019-02-01 00:00:00","TOTAL"
"CDC Tangara","GEO CO","10.439","ROTA","829","2019-02-01 00:00:00","TOTAL"
"CDD Brasilia","GEO CO","81.314","ROTA","710","2019-02-01 00:00:00","TOTAL"
"CDD Campo Gde","GEO CO","37","ROTA","454","2019-02-01 00:00:00","TOTAL"
"CDD Cuiaba","GEO CO","52.646","ROTA","455","2019-02-01 00:00:00","TOTAL"
"CDD F. Brasilia","GEO CO","18.098","ROTA","39","2019-02-01 00:00:00","TOTAL"
"CDD Goiania","GEO CO","- 0","ROTA","453","2019-02-01 00:00:00","TOTAL"
"CDD Manaus","GEO CO","72.983","ROTA","849","2019-02-01 00:00:00","TOTAL"
"CDD Porto Velho","GEO CO","11.633","ROTA","761","2019-02-01 00:00:00","TOTAL"
"CDDRondonopolis","GEO CO","15.532","ROTA","111","2019-02-01 00:00:00","TOTAL"
"CDD Alfenas","GEO MG","16.800","ROTA","820","2019-02-01 00:00:00","TOTAL"
"CDD Ipatinga","GEO MG","16.383","ROTA","45","2019-02-01 00:00:00","TOTAL"
"CDD Minas","GEO MG","59.756","ROTA","95","2019-02-01 00:00:00","TOTAL"
"CDD Pocos Cald","GEO MG","21.078","ROTA","835","2019-02-01 00:00:00","TOTAL"
"CDD Sete Lagoas","GEO MG","17.368","ROTA","189","2019-02-01 00:00:00","TOTAL"
"CDD Uberaba","GEO MG","43.526","ROTA","88","2019-02-01 00:00:00","TOTAL"
"CDD Uberlandia","GEO MG","43.507","ROTA","576","2019-02-01 00:00:00","TOTAL"
"CDD Varginha","GEO MG","21.419","ROTA","322","2019-02-01 00:00:00","TOTAL"
"CDDJoao Monleva","GEO MG","13.341","ROTA","186","2019-02-01 00:00:00","TOTAL"
"CDDPouso Alegre","GEO MG","36.914","ROTA","845","2019-02-01 00:00:00","TOTAL"
"CDL AS Minas","GEO MG","- 0","ROTA","723","2019-02-01 00:00:00","TOTAL"
"CDL Santa Luzia","GEO MG","119.699","ROTA","541","2019-02-01 00:00:00","TOTAL"
"CDC Arapiraca","GEO NE","14.460","ROTA","809","2019-02-01 00:00:00","TOTAL"
"CDC Eunapolis","GEO NE","13.793","ROTA","973","2019-02-01 00:00:00","TOTAL"
"CDD Aracaju","GEO NE","23.074","ROTA","581","2019-02-01 00:00:00","TOTAL"
"CDD Barreiras","GEO NE","16.414","ROTA","295","2019-02-01 00:00:00","TOTAL"
"CDD Brumado","GEO NE","15.270","ROTA","825","2019-02-01 00:00:00","TOTAL"
"CDD Caruaru","GEO NE","33.107","ROTA","598","2019-02-01 00:00:00","TOTAL"
"CDD F.Santana","GEO NE","52.547","ROTA","180","2019-02-01 00:00:00","TOTAL"
"CDD Guanambi","GEO NE","10.593","ROTA","52","2019-02-01 00:00:00","TOTAL"
"CDD Ilheus","GEO NE","29.580","ROTA","70","2019-02-01 00:00:00","TOTAL"
"CDD Joao Pessoa","GEO NE","21.437","ROTA","457","2019-02-01 00:00:00","TOTAL"
"CDD Lapa","GEO NE","13.477","ROTA","46","2019-02-01 00:00:00","TOTAL"
"CDD Maceio","GEO NE","27.843","ROTA","141","2019-02-01 00:00:00","TOTAL"
"CDD Olinda","GEO NE","101.680","ROTA","546","2019-02-01 00:00:00","TOTAL"
"CDD Salvador","GEO NE","116.390","ROTA","71","2019-02-01 00:00:00","TOTAL"
"CDD Vit da Conq","GEO NE","28.095","ROTA","135","2019-02-01 00:00:00","TOTAL"
"CDL Cabo","GEO NE","29.733","ROTA","729","2019-02-01 00:00:00","TOTAL"
"CRBS CDCampinaG","GEO NE","8.301","ROTA","934","2019-02-01 00:00:00","TOTAL"
"CDC Araguaina","GEO NO","21.384","ROTA","191","2019-02-01 00:00:00","TOTAL"
"CDC Redencao","GEO NO","10.645","ROTA","843","2019-02-01 00:00:00","TOTAL"
"CDD Belem","GEO NO","53.038","ROTA","229","2019-02-01 00:00:00","TOTAL"
"CDD Fortaleza","GEO NO","36.286","ROTA","499","2019-02-01 00:00:00","TOTAL"
"CDD Imperatriz","GEO NO","12.774","ROTA","603","2019-02-01 00:00:00","TOTAL"
"CDD Itapipoca","GEO NO","8.062","ROTA","252","2019-02-01 00:00:00","TOTAL"
"CDD Maraba","GEO NO","9.137","ROTA","292","2019-02-01 00:00:00","TOTAL"
"CDD MARANHÃO","GEO NO","31.070","ROTA","992","2019-02-01 00:00:00","TOTAL"
"CDD Natal","GEO NO","30.663","ROTA","458","2019-02-01 00:00:00","TOTAL"
"CDD SUL MARANHA","GEO NO","9.462","ROTA","67","2019-02-01 00:00:00","TOTAL"
"CDL Ceara","GEO NO","49.437","ROTA","762","2019-02-01 00:00:00","TOTAL"
"CD Nova Friburg","GEO RJ/ES","26.841","ROTA","85","2019-02-01 00:00:00","TOTAL"
"CD RJ Campo Gde","GEO RJ/ES","118.322","ROTA","36","2019-02-01 00:00:00","TOTAL"
"CDD Cachoeiro","GEO RJ/ES","27.154","ROTA","986","2019-02-01 00:00:00","TOTAL"
"CDD Campos","GEO RJ/ES","29.082","ROTA","539","2019-02-01 00:00:00","TOTAL"
"CDD Jacarepagua","GEO RJ/ES","135.401","ROTA","538","2019-02-01 00:00:00","TOTAL"
